id_pedido,id_plato,cantidad,precio_unitario_historico
1,142,1,18500.00
2,48,4,3000.00
2,47,2,15000.00
3,43,1,19000.00
3,45,3,6500.00
3,44,2,5000.00
4,35,1,6000.00
5,42,1,6500.00
5,41,2,4500.00
5,40,4,18500.00
6,74,1,11000.00
6,73,1,8500.00
7,52,1,4500.00
8,34,1,8500.00
9,85,1,19000.00
10,120,3,5500.00
11,8,2,11500.00
11,9,1,2000.00
12,133,1,7000.00
13,113,4,10000.00
14,143,2,5000.00
14,142,1,18500.00
15,109,2,8500.00
15,110,4,7500.00
16,27,1,6500.00
16,26,4,9500.00
16,25,2,11500.00
17,79,1,9000.00
17,81,2,1500.00
17,80,4,11500.00
18,9,3,2000.00
18,7,3,9000.00
19,32,4,6500.00
19,33,2,7500.00
19,31,4,8000.00
20,2,4,11000.00
21,30,4,6500.00
21,28,3,11500.00
21,29,1,8500.00
22,12,1,2500.00
22,10,4,7500.00
22,11,1,12000.00
23,24,4,5500.00
23,23,1,10000.00
23,22,2,11500.00
24,5,1,12000.00
24,4,3,8000.00
25,103,4,17500.00
25,104,2,4500.00
25,105,4,6500.00
26,98,2,8500.00
26,97,3,12500.00
26,99,3,5500.00
27,38,2,5000.00
27,37,4,18500.00
27,39,4,6500.00
28,116,1,10500.00
28,115,4,8000.00
29,134,1,6500.00
29,135,4,8000.00
30,117,2,1000.00
30,116,2,10500.00
31,113,1,10000.00
32,127,2,9000.00
33,44,3,5000.00
33,45,2,6500.00
33,43,3,19000.00
34,5,2,12000.00
35,6,4,1500.00
35,5,3,12000.00
35,4,1,8000.00
36,114,3,6500.00
37,90,1,7500.00
38,16,3,9500.00
38,18,2,4500.00
38,17,1,9000.00
39,36,4,7500.00
40,68,1,3500.00
41,33,3,7500.00
42,33,3,7500.00
42,32,2,6500.00
42,31,4,8000.00
43,141,2,5500.00
44,76,2,9000.00
44,77,3,12000.00
44,78,2,1000.00
45,111,4,8500.00
45,110,1,7500.00
46,144,3,6000.00
46,143,4,5000.00
46,142,3,18500.00
47,106,1,7500.00
48,92,3,4500.00
48,91,4,18000.00
49,76,1,9000.00
49,78,4,1000.00
50,80,3,11500.00
50,81,2,1500.00
51,38,4,5000.00
51,37,1,18500.00
52,77,2,12000.00
53,81,2,1500.00
53,80,4,11500.00
54,75,4,2500.00
54,73,1,8500.00
55,82,3,12000.00
55,83,2,8500.00
56,72,4,3500.00
56,71,3,15000.00
56,70,3,5500.00
57,120,4,5500.00
57,119,3,9500.00
58,121,4,7500.00
59,59,3,8500.00
59,60,4,6500.00
60,11,4,12000.00
60,10,4,7500.00
60,12,4,2500.00
61,30,1,6500.00
61,29,4,8500.00
61,28,3,11500.00
62,67,3,17500.00
62,69,1,7000.00
63,14,1,9500.00
63,13,1,10000.00
64,137,4,10000.00
64,136,2,13000.00
65,13,2,10000.00
65,15,1,4500.00
65,14,1,9500.00
66,89,3,5000.00
66,88,4,18500.00
67,21,1,4500.00
68,12,1,2500.00
68,11,3,12000.00
68,10,1,7500.00
69,101,3,4000.00
69,100,4,18000.00
70,12,3,2500.00
71,130,2,19000.00
71,132,1,6500.00
71,131,1,4000.00
72,55,3,5500.00
72,57,3,3000.00
73,56,2,13500.00
73,55,2,5500.00
74,78,2,1000.00
75,67,4,17500.00
76,6,3,1500.00
77,116,3,10500.00
78,105,4,6500.00
78,103,2,17500.00
78,104,1,4500.00
79,115,3,8000.00
79,117,1,1000.00
80,1,3,7500.00
80,2,1,11000.00
81,82,1,12000.00
81,84,4,7000.00
81,83,2,8500.00
82,146,2,13500.00
82,147,1,4500.00
83,104,2,4500.00
84,139,3,10500.00
84,140,1,9500.00
84,141,2,5500.00
85,111,1,8500.00
85,109,4,8500.00
85,110,3,7500.00
86,18,4,4500.00
86,17,2,9000.00
87,50,1,14000.00
87,49,4,4000.00
88,43,1,19000.00
88,45,1,6500.00
88,44,2,5000.00
89,108,2,2000.00
89,106,3,7500.00
89,107,1,10500.00
90,58,3,12500.00
90,59,1,8500.00
91,144,3,6000.00
92,107,1,10500.00
92,108,1,2000.00
93,138,4,6000.00
93,136,1,13000.00
93,137,1,10000.00
94,30,3,6500.00
94,28,2,11500.00
95,132,2,6500.00
95,130,1,19000.00
95,131,1,4000.00
96,144,3,6000.00
97,44,3,5000.00
97,45,1,6500.00
98,136,4,13000.00
98,138,1,6000.00
98,137,2,10000.00
99,150,1,8500.00
100,94,1,17500.00
100,96,3,6500.00
101,52,1,4500.00
101,53,2,14000.00
102,82,3,12000.00
102,83,4,8500.00
103,106,3,7500.00
103,107,2,10500.00
104,100,4,18000.00
104,102,3,6000.00
104,101,2,4000.00
105,62,3,6000.00
105,63,4,8500.00
105,61,2,8500.00
106,29,4,8500.00
107,86,2,4000.00
107,87,4,6000.00
108,96,3,6500.00
108,95,3,4500.00
109,77,2,12000.00
109,76,1,9000.00
109,78,4,1000.00
110,28,4,11500.00
110,29,3,8500.00
111,143,2,5000.00
111,142,2,18500.00
112,30,3,6500.00
112,28,4,11500.00
112,29,1,8500.00
113,14,3,9500.00
114,110,4,7500.00
114,111,3,8500.00
115,145,3,5000.00
115,147,2,4500.00
116,19,4,10000.00
116,20,3,8500.00
117,37,1,18500.00
118,29,3,8500.00
118,28,2,11500.00
119,143,1,5000.00
119,144,3,6000.00
119,142,4,18500.00
120,42,3,6500.00
121,45,4,6500.00
121,44,2,5000.00
122,46,1,5000.00
123,52,1,4500.00
124,14,2,9500.00
125,55,1,5500.00
125,57,4,3000.00
125,56,4,13500.00
126,41,4,4500.00
126,40,1,18500.00
126,42,1,6500.00
127,102,1,6000.00
127,100,1,18000.00
127,101,2,4000.00
128,104,4,4500.00
129,84,4,7000.00
129,82,1,12000.00
129,83,1,8500.00
130,56,4,13500.00
130,55,1,5500.00
131,74,4,11000.00
131,73,1,8500.00
132,125,4,11500.00
132,124,1,7500.00
132,126,3,2000.00
133,77,2,12000.00
133,78,4,1000.00
134,32,2,6500.00
134,31,4,8000.00
134,33,2,7500.00
135,110,1,7500.00
135,109,1,8500.00
135,111,4,8500.00
136,107,1,10500.00
136,108,4,2000.00
136,106,1,7500.00
137,89,1,5000.00
137,90,1,7500.00
137,88,4,18500.00
138,124,4,7500.00
139,130,1,19000.00
139,132,1,6500.00
139,131,1,4000.00
140,2,1,11000.00
140,3,2,1500.00
140,1,3,7500.00
141,54,3,3500.00
142,130,4,19000.00
143,23,3,10000.00
143,22,2,11500.00
143,24,2,5500.00
144,96,1,6500.00
145,6,4,1500.00
145,5,2,12000.00
146,73,4,8500.00
146,74,3,11000.00
147,126,4,2000.00
147,125,4,11500.00
148,43,2,19000.00
148,44,1,5000.00
149,101,2,4000.00
149,100,2,18000.00
150,111,1,8500.00
151,1,3,7500.00
151,2,1,11000.00
152,145,3,5000.00
152,146,4,13500.00
152,147,2,4500.00
153,59,1,8500.00
153,60,1,6500.00
153,58,3,12500.00
154,22,1,11500.00
154,23,1,10000.00
155,31,4,8000.00
156,40,1,18500.00
156,42,4,6500.00
156,41,2,4500.00
157,114,1,6500.00
157,112,2,13000.00
158,108,4,2000.00
