id_historial,id_pedido,estado,fecha_hora
1,1,creado,2026-03-29 02:19:22
2,1,en_preparacion,2026-03-29 02:26:22
3,1,en_camino,2026-03-29 02:36:22
4,1,entregado,2026-03-29 03:01:22
5,2,creado,2025-06-05 12:46:29
6,2,en_preparacion,2025-06-05 12:53:29
7,2,en_camino,2025-06-05 13:03:29
8,2,entregado,2025-06-05 13:16:29
9,3,creado,2026-07-22 13:34:22
10,3,en_preparacion,2026-07-22 13:38:22
11,3,en_camino,2026-07-22 13:47:22
12,3,entregado,2026-07-22 14:05:22
13,4,creado,2024-12-08 09:23:23
14,4,en_preparacion,2024-12-08 09:33:23
15,4,en_camino,2024-12-08 09:44:23
16,4,entregado,2024-12-08 10:07:23
17,5,creado,2026-05-18 14:08:35
18,5,en_preparacion,2026-05-18 14:18:35
19,5,en_camino,2026-05-18 14:27:35
20,5,entregado,2026-05-18 14:51:35
21,6,creado,2025-05-18 18:04:55
22,6,en_preparacion,2025-05-18 18:09:55
23,6,en_camino,2025-05-18 18:21:55
24,6,entregado,2025-05-18 18:32:55
25,7,creado,2026-02-28 10:42:08
26,7,en_preparacion,2026-02-28 10:51:08
27,7,en_camino,2026-02-28 11:01:08
28,7,entregado,2026-02-28 11:18:08
29,8,creado,2026-06-19 06:37:38
30,8,en_preparacion,2026-06-19 06:47:38
31,8,en_camino,2026-06-19 07:00:38
32,8,cancelado,2026-06-19 07:12:38
33,9,creado,2026-02-26 21:41:17
34,9,en_preparacion,2026-02-26 21:51:17
35,9,en_camino,2026-02-26 22:06:17
36,9,entregado,2026-02-26 22:25:17
37,10,creado,2026-07-24 17:10:36
38,10,en_preparacion,2026-07-24 17:13:36
39,10,en_camino,2026-07-24 17:21:36
40,10,entregado,2026-07-24 17:35:36
41,11,creado,2025-06-10 17:01:31
42,11,en_preparacion,2025-06-10 17:04:31
43,11,en_camino,2025-06-10 17:18:31
44,11,entregado,2025-06-10 17:32:31
45,12,creado,2026-07-10 16:30:59
46,12,en_preparacion,2026-07-10 16:36:59
47,12,en_camino,2026-07-10 16:45:59
48,12,entregado,2026-07-10 17:03:59
49,13,creado,2025-07-08 09:39:18
50,13,en_preparacion,2025-07-08 09:44:18
51,13,en_camino,2025-07-08 09:59:18
52,13,entregado,2025-07-08 10:18:18
53,14,creado,2025-09-06 02:49:48
54,14,en_preparacion,2025-09-06 02:59:48
55,14,en_camino,2025-09-06 03:11:48
56,14,entregado,2025-09-06 03:24:48
57,15,creado,2026-02-17 20:59:34
58,15,en_preparacion,2026-02-17 21:06:34
59,15,en_camino,2026-02-17 21:16:34
60,15,entregado,2026-02-17 21:33:34
61,16,creado,2026-08-10 17:00:14
62,16,en_preparacion,2026-08-10 17:10:14
63,16,en_camino,2026-08-10 17:22:14
64,16,entregado,2026-08-10 17:36:14
65,17,creado,2026-01-29 12:49:42
66,17,en_preparacion,2026-01-29 12:52:42
67,17,en_camino,2026-01-29 13:06:42
68,17,entregado,2026-01-29 13:26:42
69,18,creado,2025-04-16 05:34:54
70,19,creado,2026-06-04 12:40:29
71,19,en_preparacion,2026-06-04 12:47:29
72,19,en_camino,2026-06-04 12:57:29
73,19,entregado,2026-06-04 13:09:29
74,20,creado,2025-07-19 17:45:07
75,20,en_preparacion,2025-07-19 17:52:07
76,20,en_camino,2025-07-19 18:02:07
77,20,entregado,2025-07-19 18:21:07
78,21,creado,2026-07-17 07:15:38
79,21,en_preparacion,2026-07-17 07:21:38
80,21,en_camino,2026-07-17 07:34:38
81,21,entregado,2026-07-17 07:44:38
82,22,creado,2026-06-19 02:48:58
83,22,en_preparacion,2026-06-19 02:51:58
84,23,creado,2024-09-06 07:21:38
85,23,en_preparacion,2024-09-06 07:25:38
86,23,en_camino,2024-09-06 07:37:38
87,23,entregado,2024-09-06 08:01:38
88,24,creado,2025-08-28 06:55:04
89,24,en_preparacion,2025-08-28 07:04:04
90,24,en_camino,2025-08-28 07:15:04
91,24,entregado,2025-08-28 07:33:04
92,25,creado,2025-07-25 02:15:36
93,25,en_preparacion,2025-07-25 02:22:36
94,25,en_camino,2025-07-25 02:36:36
95,25,entregado,2025-07-25 02:58:36
96,26,creado,2025-05-31 01:29:40
97,26,en_preparacion,2025-05-31 01:32:40
98,26,en_camino,2025-05-31 01:42:40
99,26,entregado,2025-05-31 02:04:40
100,27,creado,2025-10-13 14:02:46
101,27,en_preparacion,2025-10-13 14:05:46
102,27,en_camino,2025-10-13 14:15:46
103,27,entregado,2025-10-13 14:32:46
104,28,creado,2025-12-27 15:25:33
105,28,en_preparacion,2025-12-27 15:35:33
106,28,en_camino,2025-12-27 15:48:33
107,28,entregado,2025-12-27 16:04:33
108,29,creado,2026-04-30 20:44:43
109,29,en_preparacion,2026-04-30 20:53:43
110,29,en_camino,2026-04-30 21:04:43
111,29,entregado,2026-04-30 21:28:43
112,30,creado,2026-07-12 22:23:05
113,30,en_preparacion,2026-07-12 22:25:05
114,31,creado,2025-01-13 10:04:03
115,31,en_preparacion,2025-01-13 10:13:03
