id_plato,id_restaurante,nombre,descripcion,precio_actual,esta_disponible
1,1,Pizza Margarita,"Muzzarella, tomate fresco y albahaca",7500.00,t
2,1,Fugazzetta Rellena,Doble masa con extra queso y cebolla,11000.00,t
3,1,Empanada de Carne,"Frita, cortada a cuchillo",1500.00,t
4,2,Pizza Margarita,"Muzzarella, tomate fresco y albahaca",8000.00,t
5,2,Fugazzetta Rellena,Doble masa con extra queso y cebolla,12000.00,t
6,2,Empanada de Carne,"Frita, cortada a cuchillo",1500.00,t
7,3,Pizza Margarita,"Muzzarella, tomate fresco y albahaca",9000.00,t
8,3,Fugazzetta Rellena,Doble masa con extra queso y cebolla,11500.00,t
9,3,Empanada de Carne,"Frita, cortada a cuchillo",2000.00,t
10,4,Pizza Margarita,"Muzzarella, tomate fresco y albahaca",7500.00,t
11,4,Fugazzetta Rellena,Doble masa con extra queso y cebolla,12000.00,t
12,4,Empanada de Carne,"Frita, cortada a cuchillo",2500.00,t
13,5,Doble Bacon Cheeseburger,"Dos medallones, cheddar, panceta y salsa",10000.00,t
14,5,Hamburguesa Veggie,Medallón de lentejas con lechuga y tomate,9500.00,t
15,5,Papas Fritas con Cheddar,Porción grande para compartir,4500.00,t
16,6,Doble Bacon Cheeseburger,"Dos medallones, cheddar, panceta y salsa",9500.00,t
17,6,Hamburguesa Veggie,Medallón de lentejas con lechuga y tomate,9000.00,t
18,6,Papas Fritas con Cheddar,Porción grande para compartir,4500.00,t
19,7,Doble Bacon Cheeseburger,"Dos medallones, cheddar, panceta y salsa",10000.00,t
20,7,Hamburguesa Veggie,Medallón de lentejas con lechuga y tomate,8500.00,t
21,7,Papas Fritas con Cheddar,Porción grande para compartir,4500.00,t
22,8,Roll Salmon Avocado,8 piezas con salmón rosado y palta,11500.00,t
23,8,Nigiri de Salmón,5 piezas de corte grueso,10000.00,t
24,8,Gyozas de Cerdo,Empanaditas al vapor y selladas,5500.00,t
25,9,Roll Salmon Avocado,8 piezas con salmón rosado y palta,11500.00,t
26,9,Nigiri de Salmón,5 piezas de corte grueso,9500.00,t
27,9,Gyozas de Cerdo,Empanaditas al vapor y selladas,6500.00,t
28,10,Roll Salmon Avocado,8 piezas con salmón rosado y palta,11500.00,t
29,10,Nigiri de Salmón,5 piezas de corte grueso,8500.00,t
30,10,Gyozas de Cerdo,Empanaditas al vapor y selladas,6500.00,t
31,11,Ensalada Caesar,"Pollo grillado, crutones, parmesano y aderezo",8000.00,t
32,11,Wrap de Pollo,Tortilla integral con vegetales frescos,6500.00,t
33,11,Bowl de Quinoa,"Con palta, tomate cherry y huevo poché",7500.00,t
34,12,Ensalada Caesar,"Pollo grillado, crutones, parmesano y aderezo",8500.00,t
35,12,Wrap de Pollo,Tortilla integral con vegetales frescos,6000.00,t
36,12,Bowl de Quinoa,"Con palta, tomate cherry y huevo poché",7500.00,t
37,13,Ojo de Bife,Corte premium de 400gr punto a elección,18500.00,t
